Date,Total_Likes,Total_Follows
1/11/20,94048,95530
1/12/20,94056,95538
1/13/20,94063,95546
1/14/20,94138,95622
1/15/20,94144,95628
1/16/20,94153,95638
1/17/20,94156,95643
1/18/20,94158,95644
1/19/20,94159,95645
1/20/20,94164,95651
1/21/20,94168,95657
1/22/20,94188,95683
1/23/20,94188,95681
1/24/20,94186,95679
1/25/20,94199,95691
1/26/20,94223,95718
1/27/20,94291,95791
1/28/20,94305,95809
1/29/20,94312,95818
1/30/20,94310,95816
1/31/20,94373,95882
2/1/20,94382,95889
2/2/20,94390,95899
2/3/20,94402,95912
2/4/20,94411,95920
2/5/20,94416,95925
2/6/20,94416,95925
2/7/20,94433,95944
2/8/20,94434,95947
2/9/20,94441,95958
2/10/20,94520,96043
2/11/20,94528,96051
2/12/20,94533,96059
2/13/20,94532,96057
2/14/20,94547,96076
2/15/20,94559,96091
2/16/20,94559,96093
2/17/20,94563,96099
2/18/20,94566,96103
2/19/20,94565,96102
2/20/20,94569,96106
2/21/20,94571,96110
2/22/20,94599,96143
2/23/20,94609,96155
2/24/20,94601,96148
2/25/20,94597,96144
2/26/20,94631,96180
2/27/20,94636,96185
2/28/20,94638,96192
2/29/20,94637,96191
3/1/20,94652,96206
3/2/20,94661,96216
3/3/20,94701,96258
3/4/20,94735,96294
3/5/20,94754,96313
3/6/20,94768,96328
3/7/20,94829,96395
3/8/20,94851,96418
3/9/20,94869,96436
3/10/20,94878,96445
3/11/20,94880,96447
3/12/20,94903,96469
3/13/20,94923,96496
3/14/20,94944,96524
3/15/20,94955,96537
3/16/20,94960,96544
3/17/20,94971,96556
3/18/20,94973,96560
3/19/20,94981,96571
3/20/20,95110,96707
3/21/20,95131,96731
3/22/20,95153,96755
3/23/20,95166,96768
3/24/20,95205,96815
3/25/20,95237,96848
3/26/20,95262,96875
3/27/20,95275,96892
3/28/20,95283,96900
3/29/20,95283,96900
3/30/20,95298,96917
3/31/20,95326,96945
4/1/20,95338,96957
4/2/20,95352,96974
4/3/20,95371,97002
4/4/20,95400,97037
4/5/20,95442,97088
4/6/20,95470,97133
4/7/20,95513,97190
4/8/20,95526,97207
4/9/20,95558,97246
4/10/20,95592,97281
4/11/20,95605,97294
4/12/20,95617,97314
4/13/20,95628,97329
4/14/20,95647,97350
4/15/20,95667,97372
4/16/20,95680,97392
4/17/20,95694,97410
4/18/20,95711,97429
4/19/20,95733,97454
4/20/20,95742,97463
4/21/20,95747,97468
4/22/20,95750,97472
4/23/20,95767,97490
4/24/20,95773,97495
4/25/20,95776,97495
4/26/20,95780,97499
4/27/20,95781,97499
4/28/20,95784,97500
4/29/20,95783,97413
4/30/20,95792,97511
5/1/20,95791,97512
5/2/20,95904,97632
5/3/20,96005,97652
